Time, Cooling Engery (kWh) Zone1, Cooling Engery (kBtu) Zone2, Cooling Engery (kBtu) Zone3, Cooling Engery (kBtu) Zone4, Cooling Engery (kBtu) Zone5, Heating Engery (kBtu) Zone1, Heating Engery (kBtu) Zone2, Heating Engery (kBtu) Zone3, Heating Engery (kBtu) Zone4, Heating Engery (kBtu) Zone5, Electric Light Engery (kBtu) Zone1, Electric Light (kBtu) Zone2, Electric Light Energy (kBtu) Zone3, Electric Light Energy (kBtu) Zone4, Electric Light Energy (kBtu) Zone5, Equipment Engery (kBtu) Zone1, Equipment Engery (kBtu) Zone2, Equipment Engery (kBtu) Zone3, Equipment Engery (kBtu) Zone4, Equipment Engery (kBtu) Zone5,
02 Jan 03:00,0,0,0,0,0,17.361224,8.624208,14.9161,8.791055,2.312291,0.148928,0.062053,0.148928,0.062053,0.074464,2.896263,1.206776,2.896263,1.206776,1.448132
02 Jan 04:00,0,0,0,0,0,17.437343,8.662122,15.246561,8.818881,2.315198,0.446784,0.18616,0.446784,0.18616,0.223392,2.896263,1.206776,2.896263,1.206776,1.448132
02 Jan 05:00,0,0,0,0,0,17.170916,8.560362,15.187531,8.701236,2.140288,0.968032,0.403347,0.968032,0.403347,0.484016,3.277351,1.365563,3.277351,1.365563,1.638675
02 Jan 06:00,0,0,0,0,0,16.724156,8.387152,14.916175,8.509076,1.861349,1.042497,0.434374,1.042497,0.434374,0.521248,4.115742,1.714893,4.115742,1.714893,2.057871
02 Jan 07:00,0,0,0,0,0,16.572935,8.33446,14.922719,8.44023,1.726243,0.968032,0.403347,0.968032,0.403347,0.484016,4.954134,2.064223,4.954134,2.064223,2.477067
02 Jan 08:00,0,0,0,0,0,18.007613,8.957831,16.447554,9.099043,2.336909,0.446784,0.18616,0.446784,0.18616,0.223392,5.030352,2.09598,5.030352,2.09598,2.515176
02 Jan 09:00,0,0,0,0,0,17.639194,8.7078,15.710397,9.059002,2.459606,0.297856,0.124107,0.297856,0.124107,0.148928,5.106569,2.127737,5.106569,2.127737,2.553285
02 Jan 10:00,0,0,0,0,0,15.803286,7.802469,12.986096,8.425899,2.179971,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
02 Jan 11:00,0,0,0,0,0,13.744247,6.923521,11.341502,7.570803,1.748071,0.297856,0.124107,0.297856,0.124107,0.148928,5.335222,2.223009,5.335222,2.223009,2.667611
02 Jan 12:00,0,0,0,0,0,12.579091,6.439318,9.983112,7.172312,1.618939,0.297856,0.124107,0.297856,0.124107,0.148928,5.259004,2.191252,5.259004,2.191252,2.629502
02 Jan 13:00,0,0,0,0,0,13.342218,6.809223,11.242748,7.492839,1.83669,0.297856,0.124107,0.297856,0.124107,0.148928,5.030352,2.09598,5.030352,2.09598,2.515176
